FLOWDATE,FLOWHOUR,Predicted_SBIL_MWH,Run_Timestamp,MACRO_INDEX
20241217,11,-259.8550109863281,2024-12-17 09:55:06.768278,MACROSUD
20241217,12,-314.4460144042969,2024-12-17 09:55:06.768278,MACROSUD
20241217,13,-468.1820068359375,2024-12-17 09:55:06.768278,MACROSUD
20241217,10,-62.70500183105469,2024-12-17 10:03:58.906319,MACRONORD
20241217,11,-18.52199935913086,2024-12-17 10:03:58.906319,MACRONORD
20241217,12,71.43199920654297,2024-12-17 10:03:58.906319,MACRONORD
20241217,13,-447.5870056152344,2024-12-17 10:03:58.906319,MACRONORD
20241217,10,-224.34100341796875,2024-12-17 10:05:46.588987,MACROSUD
20241217,11,-229.4349975585937,2024-12-17 10:05:46.588987,MACROSUD
20241217,12,-439.4070129394531,2024-12-17 10:05:46.588987,MACROSUD
20241217,13,-339.62799072265625,2024-12-17 10:05:46.588987,MACROSUD
20241217,11,-217.24200439453125,2024-12-17 10:32:45.718825,MACRONORD
20241217,12,-28.48900032043457,2024-12-17 10:32:45.718825,MACRONORD
20241217,13,-88.36900329589844,2024-12-17 10:32:45.718825,MACRONORD
20241217,14,-191.5749969482422,2024-12-17 10:32:45.718825,MACRONORD
20241217,11,-139.17599487304688,2024-12-17 10:34:29.080275,MACROSUD
20241217,12,-327.10400390625,2024-12-17 10:34:29.080275,MACROSUD
20241217,13,-149.08299255371094,2024-12-17 10:34:29.080275,MACROSUD
20241217,14,-114.45600128173828,2024-12-17 10:34:29.080275,MACROSUD
20241217,12,-61.02399826049805,2024-12-17 12:04:01.452074,MACRONORD
20241217,13,-136.2550048828125,2024-12-17 12:04:01.452074,MACRONORD
20241217,14,-2.1010000705718994,2024-12-17 12:04:01.452074,MACRONORD
20241217,15,-116.5260009765625,2024-12-17 12:04:01.452074,MACRONORD
20241217,12,163.00900268554688,2024-12-17 12:05:46.171690,MACROSUD
20241217,13,-131.64199829101562,2024-12-17 12:05:46.171690,MACROSUD
20241217,14,-323.9079895019531,2024-12-17 12:05:46.171690,MACROSUD
20241217,15,-170.08200073242188,2024-12-17 12:05:46.171690,MACROSUD
20241217,13,-102.43599700927734,2024-12-17 12:41:58.176894,MACRONORD
20241217,14,-39.209999084472656,2024-12-17 12:41:58.176894,MACRONORD
20241217,15,-189.8249969482422,2024-12-17 12:41:58.176894,MACRONORD
20241217,16,-116.25,2024-12-17 12:41:58.176894,MACRONORD
20241217,13,146.48699951171875,2024-12-17 12:43:48.570522,MACROSUD
20241217,14,109.60299682617188,2024-12-17 12:43:48.570522,MACROSUD
20241217,15,24.684999465942383,2024-12-17 12:43:48.570522,MACROSUD
20241217,16,-6.940000057220459,2024-12-17 12:43:48.570522,MACROSUD
20241217,14,-107.34700012207033,2024-12-17 14:07:11.416789,MACRONORD
20241217,15,-107.91500091552734,2024-12-17 14:07:11.416789,MACRONORD
20241217,16,-47.58700180053711,2024-12-17 14:07:11.416789,MACRONORD
20241217,17,-77.21099853515625,2024-12-17 14:07:11.416789,MACRONORD
20241217,14,131.83700561523438,2024-12-17 14:08:56.711246,MACROSUD
20241217,15,248.62600708007807,2024-12-17 14:08:56.711246,MACROSUD
20241217,16,389.9750061035156,2024-12-17 14:08:56.711246,MACROSUD
20241217,17,264.3630065917969,2024-12-17 14:08:56.711246,MACROSUD
20241217,15,-309.2489929199219,2024-12-17 14:42:06.523378,MACRONORD
20241217,16,-97.72100067138672,2024-12-17 14:42:06.523378,MACRONORD
20241217,17,-57.494998931884766,2024-12-17 14:42:06.523378,MACRONORD
20241217,18,281.00299072265625,2024-12-17 14:42:06.523378,MACRONORD
20241217,15,-23.702999114990234,2024-12-17 14:43:51.884459,MACROSUD
20241217,16,-23.81800079345703,2024-12-17 14:43:51.884459,MACROSUD
20241217,17,319.41900634765625,2024-12-17 14:43:51.884459,MACROSUD
20241217,18,567.8690185546875,2024-12-17 14:43:51.884459,MACROSUD
20241217,16,-281.7470092773437,2024-12-17 15:42:06.968658,MACRONORD
20241217,17,-396.0960083007813,2024-12-17 15:42:06.968658,MACRONORD
20241217,18,-18.277999877929688,2024-12-17 15:42:06.968658,MACRONORD
20241217,19,-100.59700012207033,2024-12-17 15:42:06.968658,MACRONORD
20241217,16,249.7050018310547,2024-12-17 15:43:51.079847,MACROSUD
20241217,17,32.827999114990234,2024-12-17 15:43:51.079847,MACROSUD
20241217,18,219.238998413086,2024-12-17 15:43:51.079847,MACROSUD
20241217,19,423.89300537109375,2024-12-17 15:43:51.079847,MACROSUD
20241217,17,6.541999816894531,2024-12-17 16:41:57.970152,MACRONORD
20241217,18,-420.8670043945313,2024-12-17 16:41:57.970152,MACRONORD
20241217,19,-428.0790100097656,2024-12-17 16:41:57.970152,MACRONORD
20241217,20,0.4289999902248382,2024-12-17 16:41:57.970152,MACRONORD
20241217,17,11.741000175476074,2024-12-17 16:43:43.772850,MACROSUD
20241217,18,135.8730010986328,2024-12-17 16:43:43.772850,MACROSUD
20241217,19,-73.39800262451172,2024-12-17 16:43:43.772850,MACROSUD
20241217,20,197.6999969482422,2024-12-17 16:43:43.772850,MACROSUD
20241217,18,-13.75100040435791,2024-12-17 17:42:15.257426,MACRONORD
20241217,19,-38.71699905395508,2024-12-17 17:42:15.257426,MACRONORD
20241217,20,-344.1860046386719,2024-12-17 17:42:15.257426,MACRONORD
20241217,21,-17.579999923706055,2024-12-17 17:42:15.257426,MACRONORD
20241217,18,-12.887999534606934,2024-12-17 17:44:21.249922,MACROSUD
20241217,19,3.2860000133514404,2024-12-17 17:44:21.249922,MACROSUD
20241217,20,62.78799819946289,2024-12-17 17:44:21.249922,MACROSUD
20241217,21,-156.531005859375,2024-12-17 17:44:21.249922,MACROSUD
20241217,19,47.31100082397461,2024-12-17 18:42:08.655605,MACRONORD
20241217,20,32.82400131225586,2024-12-17 18:42:08.655605,MACRONORD
20241217,21,-28.64900016784668,2024-12-17 18:42:08.655605,MACRONORD
20241217,22,280.9429931640625,2024-12-17 18:42:08.655605,MACRONORD
20241217,19,206.46099853515625,2024-12-17 18:43:55.328377,MACROSUD
20241217,20,-151.5780029296875,2024-12-17 18:43:55.328377,MACROSUD
20241217,21,297.3330078125,2024-12-17 18:43:55.328377,MACROSUD
20241217,22,27.780000686645508,2024-12-17 18:43:55.328377,MACROSUD
20241217,20,-40.06900024414063,2024-12-17 19:42:13.575494,MACRONORD
20241217,21,-56.70700073242188,2024-12-17 19:42:13.575494,MACRONORD
20241217,22,-25.652999877929688,2024-12-17 19:42:13.575494,MACRONORD
20241217,23,197.5390014648437,2024-12-17 19:42:13.575494,MACRONORD
20241217,20,373.2699890136719,2024-12-17 19:43:59.201122,MACROSUD
20241217,21,86.69200134277344,2024-12-17 19:43:59.201122,MACROSUD
20241217,22,66.00499725341797,2024-12-17 19:43:59.201122,MACROSUD
20241217,23,252.2350006103516,2024-12-17 19:43:59.201122,MACROSUD
20241217,21,-11.557000160217283,2024-12-17 20:42:08.466543,MACRONORD
20241217,22,-12.223999977111816,2024-12-17 20:42:08.466543,MACRONORD
20241217,23,-3.941999912261963,2024-12-17 20:42:08.466543,MACRONORD
20241217,24,-5.206999778747559,2024-12-17 20:42:08.466543,MACRONORD
20241217,21,332.0610046386719,2024-12-17 20:43:52.960163,MACROSUD
20241217,22,330.8529968261719,2024-12-17 20:43:52.960163,MACROSUD
20241217,23,60.20700073242188,2024-12-17 20:43:52.960163,MACROSUD
20241217,24,142.08299255371094,2024-12-17 20:43:52.960163,MACROSUD
20241217,22,49.37300109863281,2024-12-17 21:42:00.369935,MACRONORD
20241217,23,13.666000366210938,2024-12-17 21:42:00.369935,MACRONORD
20241217,24,13.847999572753906,2024-12-17 21:42:00.369935,MACRONORD
20241217,25,1.02400004863739,2024-12-17 21:42:00.369935,MACRONORD
20241217,22,286.6719970703125,2024-12-17 21:43:45.358852,MACROSUD
20241217,23,296.0719909667969,2024-12-17 21:43:45.358852,MACROSUD
20241217,24,159.94500732421875,2024-12-17 21:43:45.358852,MACROSUD
20241217,25,119.2300033569336,2024-12-17 21:43:45.358852,MACROSUD
20241217,23,77.56999969482422,2024-12-17 22:42:04.693087,MACRONORD
20241217,24,6.3379998207092285,2024-12-17 22:42:04.693087,MACRONORD
20241217,25,71.64299774169922,2024-12-17 22:42:04.693087,MACRONORD
20241217,26,276.1659851074219,2024-12-17 22:42:04.693087,MACRONORD
20241217,23,205.4279937744141,2024-12-17 22:43:52.085095,MACROSUD
20241217,24,283.697998046875,2024-12-17 22:43:52.085095,MACROSUD
20241217,25,162.39999389648438,2024-12-17 22:43:52.085095,MACROSUD
20241217,26,138.3090057373047,2024-12-17 22:43:52.085095,MACROSUD
20241218,0,274.0249938964844,2024-12-17 23:42:04.624171,MACRONORD
20241218,1,84.44000244140625,2024-12-17 23:42:04.624171,MACRONORD
20241218,2,61.21699905395508,2024-12-17 23:42:04.624171,MACRONORD
20241218,3,218.2519989013672,2024-12-17 23:42:04.624171,MACRONORD
20241218,0,38.58000183105469,2024-12-17 23:43:50.984941,MACROSUD
20241218,1,197.81700134277344,2024-12-17 23:43:50.984941,MACROSUD
20241218,2,53.99100112915039,2024-12-17 23:43:50.984941,MACROSUD
20241218,3,158.71499633789062,2024-12-17 23:43:50.984941,MACROSUD
20241218,1,201.1840057373047,2024-12-18 00:42:06.526882,MACRONORD
20241218,2,321.0929870605469,2024-12-18 00:42:06.526882,MACRONORD
20241218,3,62.05500030517578,2024-12-18 00:42:06.526882,MACRONORD
20241218,4,-55.792999267578125,2024-12-18 00:42:06.526882,MACRONORD
20241218,1,314.74200439453125,2024-12-18 00:43:56.793321,MACROSUD
20241218,2,90.58100128173828,2024-12-18 00:43:56.793321,MACROSUD
20241218,3,152.8800048828125,2024-12-18 00:43:56.793321,MACROSUD
20241218,4,132.94900512695312,2024-12-18 00:43:56.793321,MACROSUD
20241218,2,168.04800415039062,2024-12-18 01:42:03.080873,MACRONORD
20241218,3,218.3249969482422,2024-12-18 01:42:03.080873,MACRONORD
20241218,4,399.02099609375,2024-12-18 01:42:03.080873,MACRONORD
20241218,5,-239.6820068359375,2024-12-18 01:42:03.080873,MACRONORD
20241218,2,464.6440124511719,2024-12-18 01:43:50.873754,MACROSUD
20241218,3,197.0749969482422,2024-12-18 01:43:50.873754,MACROSUD
20241218,4,-5.875,2024-12-18 01:43:50.873754,MACROSUD
20241218,5,212.572006225586,2024-12-18 01:43:50.873754,MACROSUD
20241218,3,184.6199951171875,2024-12-18 02:41:58.847353,MACRONORD
20241218,4,189.2790069580078,2024-12-18 02:41:58.847353,MACRONORD
20241218,5,208.8090057373047,2024-12-18 02:41:58.847353,MACRONORD
20241218,6,1.274999976158142,2024-12-18 02:41:58.847353,MACRONORD
20241218,3,369.7019958496094,2024-12-18 02:43:45.536272,MACROSUD
20241218,4,553.8410034179688,2024-12-18 02:43:45.536272,MACROSUD
20241218,5,-129.24400329589844,2024-12-18 02:43:45.536272,MACROSUD
20241218,6,-52.60100173950195,2024-12-18 02:43:45.536272,MACROSUD
20241218,4,265.9729919433594,2024-12-18 03:43:24.503068,MACRONORD
20241218,5,227.74400329589844,2024-12-18 03:43:24.503068,MACRONORD
20241218,6,174.88999938964844,2024-12-18 03:43:24.503068,MACRONORD
20241218,7,-131.01400756835938,2024-12-18 03:43:24.503068,MACRONORD
20241218,4,517.3099975585938,2024-12-18 03:45:09.600820,MACROSUD
20241218,5,328.5,2024-12-18 03:45:09.600820,MACROSUD
20241218,6,-48.292999267578125,2024-12-18 03:45:09.600820,MACROSUD
20241218,7,-62.1609992980957,2024-12-18 03:45:09.600820,MACROSUD
20241218,5,241.8679962158203,2024-12-18 04:42:11.079386,MACRONORD
20241218,6,320.47100830078125,2024-12-18 04:42:11.079386,MACRONORD
20241218,7,263.656005859375,2024-12-18 04:42:11.079386,MACRONORD
20241218,8,-284.68798828125,2024-12-18 04:42:11.079386,MACRONORD
20241218,5,435.53900146484375,2024-12-18 04:43:54.946069,MACROSUD
20241218,6,524.2550048828125,2024-12-18 04:43:54.946069,MACROSUD
20241218,7,59.62200164794922,2024-12-18 04:43:54.946069,MACROSUD
20241218,8,-38.03099822998047,2024-12-18 04:43:54.946069,MACROSUD
20241218,6,352.2909851074219,2024-12-18 05:42:21.618415,MACRONORD
20241218,7,333.4649963378906,2024-12-18 05:42:21.618415,MACRONORD
20241218,8,240.9530029296875,2024-12-18 05:42:21.618415,MACRONORD
20241218,9,-110.13800048828124,2024-12-18 05:42:21.618415,MACRONORD
20241218,6,468.0419921875,2024-12-18 05:44:06.655705,MACROSUD
20241218,7,473.3970031738281,2024-12-18 05:44:06.655705,MACROSUD
20241218,8,121.15599822998048,2024-12-18 05:44:06.655705,MACROSUD
20241218,9,142.8730010986328,2024-12-18 05:44:06.655705,MACROSUD
20241218,7,325.4779968261719,2024-12-18 06:42:04.726989,MACRONORD
20241218,8,325.77301025390625,2024-12-18 06:42:04.726989,MACRONORD
20241218,9,235.5780029296875,2024-12-18 06:42:04.726989,MACRONORD
20241218,10,96.79299926757812,2024-12-18 06:42:04.726989,MACRONORD
20241218,7,577.8690185546875,2024-12-18 06:43:58.004966,MACROSUD
20241218,8,529.6939697265625,2024-12-18 06:43:58.004966,MACROSUD
20241218,9,-91.197998046875,2024-12-18 06:43:58.004966,MACROSUD
20241218,10,160.7010040283203,2024-12-18 06:43:58.004966,MACROSUD
20241218,8,89.30999755859375,2024-12-18 07:42:08.628343,MACRONORD
20241218,9,316.6709899902344,2024-12-18 07:42:08.628343,MACRONORD
20241218,10,351.2080078125,2024-12-18 07:42:08.628343,MACRONORD
20241218,11,-78.43900299072266,2024-12-18 07:42:08.628343,MACRONORD
20241218,8,752.10302734375,2024-12-18 07:43:53.618913,MACROSUD
20241218,9,508.6549987792969,2024-12-18 07:43:53.618913,MACROSUD
20241218,10,-117.15399932861328,2024-12-18 07:43:53.618913,MACROSUD
20241218,11,-3.183000087738037,2024-12-18 07:43:53.618913,MACROSUD
20241218,9,2.7920000553131104,2024-12-18 08:42:19.494792,MACRONORD
20241218,10,58.52299880981445,2024-12-18 08:42:19.494792,MACRONORD
20241218,11,397.14599609375,2024-12-18 08:42:19.494792,MACRONORD
20241218,12,19.766000747680664,2024-12-18 08:42:19.494792,MACRONORD
20241218,9,513.6279907226562,2024-12-18 08:44:05.864219,MACROSUD
20241218,10,307.2489929199219,2024-12-18 08:44:05.864219,MACROSUD
20241218,11,-183.2640075683593,2024-12-18 08:44:05.864219,MACROSUD
20241218,12,-110.14099884033205,2024-12-18 08:44:05.864219,MACROSUD
20241218,10,249.99200439453125,2024-12-18 09:42:04.873582,MACRONORD
20241218,11,20.19499969482422,2024-12-18 09:42:04.873582,MACRONORD
20241218,12,150.88800048828125,2024-12-18 09:42:04.873582,MACRONORD
20241218,13,-177.53199768066406,2024-12-18 09:42:04.873582,MACRONORD
20241218,10,474.9410095214844,2024-12-18 09:43:49.617424,MACROSUD
20241218,11,306.0580139160156,2024-12-18 09:43:49.617424,MACROSUD
20241218,12,-33.09400177001953,2024-12-18 09:43:49.617424,MACROSUD
20241218,13,-346.3699951171875,2024-12-18 09:43:49.617424,MACROSUD
20241218,11,451.3789978027344,2024-12-18 10:42:03.695363,MACRONORD
20241218,12,302.1520080566406,2024-12-18 10:42:03.695363,MACRONORD
20241218,13,97.83300018310548,2024-12-18 10:42:03.695363,MACRONORD
20241218,14,-51.53300094604492,2024-12-18 10:42:03.695363,MACRONORD
